amfi_code,CAGR_3Y,sharpe_ratio,alpha,beta,scheme_name,fund_house,expense_ratio_pct,max_drawdown,drawdown_pct,return_score,sharpe_score,alpha_score,expense_score,drawdown_score,score,rank
148567,0.34,1.4625,0.2698,0.0237,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,1.46,-0.1127,-11.27,97.5,100.0,85.0,45.0,82.5,86.25,1
120505,0.3178,1.1906,0.2926,0.0005,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,1.36,-0.1819,-18.19,90.0,90.0,95.0,65.0,40.0,82.25,2
120843,0.2958,1.3194,0.2733,-0.0228,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,1.45,-0.1297,-12.97,85.0,97.5,90.0,47.5,70.0,82.0,3
100033,0.3244,1.1044,0.272,0.0051,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,1.38,-0.1622,-16.22,92.5,85.0,87.5,60.0,52.5,80.75,4
120504,0.3249,1.0406,0.2119,0.0162,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,0.8,-0.1259,-12.59,95.0,77.5,70.0,72.5,72.5,80.0,5
119094,0.3511,1.0086,0.2608,-0.0663,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,1.38,-0.2096,-20.96,100.0,75.0,80.0,60.0,32.5,77.0,6
119551,0.3046,1.2229,0.232,-0.0318,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,1.54,-0.1501,-15.01,87.5,92.5,77.5,26.25,60.0,74.81,7
148569,0.2918,1.2463,0.2827,0.0181,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,1.6,-0.164,-16.4,82.5,95.0,92.5,11.25,50.0,73.69,8
101206,0.2897,1.0411,0.214,0.0211,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,1.6,-0.1129,-11.29,80.0,80.0,72.5,11.25,80.0,68.19,9
119598,0.2667,0.9533,0.3034,-0.0232,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,1.43,-0.2871,-28.71,72.5,67.5,100.0,50.0,12.5,67.38,10
149323,0.2687,1.1435,0.266,-0.0025,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,1.61,-0.1725,-17.25,75.0,87.5,82.5,7.5,47.5,66.75,11
149324,0.27,0.9579,0.3006,0.0115,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,1.52,-0.3117,-31.17,77.5,70.0,97.5,36.25,10.0,66.69,12
118632,0.2265,1.0959,0.2183,-0.0084,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,1.51,-0.1741,-17.41,67.5,82.5,75.0,41.25,45.0,66.56,13
119552,0.1627,0.9678,0.1987,-0.0262,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,0.66,-0.118,-11.8,45.0,72.5,65.0,92.5,75.0,66.0,14
125497,0.1843,0.7895,0.1773,0.0488,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,0.92,-0.152,-15.2,55.00000000000001,55.00000000000001,62.5,67.5,57.49999999999999,58.62,15
118635,0.2001,0.6804,0.1514,-0.0014,Nippon India ETF Nifty 50 BeES,Nippon India MF,0.89,-0.1165,-11.65,60.0,52.5,45.0,70.0,77.5,58.38,16
118633,0.2109,0.6596,0.1564,-0.0366,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,0.72,-0.1863,-18.63,65.0,47.5,47.5,88.75,37.5,57.94,17
102885,0.1967,0.8328,0.1705,-0.0195,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,1.57,-0.1086,-10.86,57.49999999999999,60.0,55.00000000000001,17.5,85.0,54.38,18
148568,0.1475,0.9394,0.2087,-0.0264,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,1.52,-0.1527,-15.27,42.5,65.0,67.5,36.25,55.00000000000001,53.44,19
120503,0.1398,0.8125,0.177,-0.0403,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,1.42,-0.139,-13.9,40.0,57.49999999999999,60.0,52.5,67.5,53.0,20
120507,0.0739,0.9042,0.0675,-0.0004,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,0.74,-0.001,-0.1,30.0,62.5,25.0,85.0,100.0,52.38,21
120506,0.1842,0.6621,0.1625,0.0419,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,1.41,-0.1983,-19.83,52.5,50.0,52.5,55.00000000000001,35.0,50.5,22
119093,0.2082,0.144,0.0823,0.0259,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,0.75,-0.2175,-21.75,62.5,27.500000000000004,32.5,82.5,25.0,47.0,23
102887,0.2556,0.6323,0.1621,0.0167,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,1.64,-0.2154,-21.54,70.0,45.0,50.0,3.75,27.500000000000004,45.56,24
120844,0.067,0.3043,0.0646,-0.0004,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,0.6,-0.0012,-0.12,27.500000000000004,32.5,22.5,95.0,97.5,44.88,25
149322,0.1804,0.4781,0.1317,-0.0041,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,1.54,-0.1484,-14.84,50.0,40.0,42.5,26.25,62.5,43.69,26
125498,0.1125,0.3116,0.1199,0.0091,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,0.78,-0.2112,-21.12,37.5,35.0,37.5,77.5,30.0,42.12,27
120841,0.1727,0.5093,0.1304,0.0364,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,1.59,-0.1757,-17.57,47.5,42.5,40.0,15.0,42.5,39.38,28
118634,0.0801,0.4564,0.175,0.1035,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,1.53,-0.2334,-23.34,35.0,37.5,57.49999999999999,31.25,22.5,38.31,29
119120,0.0584,-0.1757,0.0562,-0.0064,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,0.77,-0.0433,-4.33,22.5,15.0,17.5,80.0,90.0,35.0,30
118636,0.0406,-0.306,0.0507,0.0013,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,0.55,-0.0832,-8.32,20.0,7.5,15.0,100.0,87.5,34.62,31
101208,0.0632,-0.4172,0.0609,0.0003,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,0.79,-0.0016,-0.16,25.0,5.0,20.0,75.0,95.0,33.5,32
100025,0.0392,-0.5154,0.0428,0.0012,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,0.56,-0.0431,-4.31,17.5,2.5,7.5,97.5,92.5,31.25,33
120842,0.0776,0.0873,0.078,0.0181,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,1.56,-0.24,-24.0,32.5,25.0,30.0,20.0,20.0,27.0,34
119599,-0.0134,-0.0491,0.0488,0.062,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,0.72,-0.5257,-52.57,7.5,20.0,12.5,88.75,2.5,23.31,35
119092,0.0053,0.0452,0.069,0.0097,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,1.64,-0.144,-14.4,12.5,22.5,27.500000000000004,3.75,65.0,21.94,36
101207,-0.0415,0.1705,0.109,-0.0653,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,1.53,-0.3545,-35.45,5.0,30.0,35.0,31.25,7.5,21.44,37
119095,-0.1171,-0.0679,0.048,-0.067,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,1.38,-0.5168,-51.68,2.5,17.5,10.0,60.0,5.0,16.62,38
100016,0.0129,-0.1877,0.0375,-0.0583,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,1.55,-0.2473,-24.73,15.0,12.5,5.0,22.5,17.5,13.75,39
102886,-0.0077,-0.1947,0.029,-0.0421,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,1.51,-0.28,-28.0,10.0,10.0,2.5,41.25,15.0,13.69,40
